# Ng=4 U=10.0  impurity-side lambda^c, stacked Neff x Neff blocks per atom (atom0, atom1)
3.049208811921553686e+00 1.214007265085331966e+00 2.705635985633130236e-01 -4.893749754966641441e-01 -2.092730410517200657e+00
1.214007265085332410e+00 -3.671001619174981023e+00 5.492421719592817386e-02 1.790002870185922745e+00 -6.215311238957196283e-01
2.705635985633130236e-01 5.492421719592814611e-02 8.592299129104628841e-02 -1.842709896881015302e-02 -1.865734739470633341e-01
-4.893749754966641441e-01 1.790002870185923189e+00 -1.842709896881016690e-02 -7.936143896992362556e-01 2.350940170856838651e-01
-2.092730410517199768e+00 -6.215311238957196283e-01 -1.865734739470633341e-01 2.350940170856836986e-01 1.515881688792789062e+00
2.915413431561816981e+00 2.877383507109597394e-02 1.606066976427978146e-02 1.305060931405435387e-01 2.296310717214532282e+00
2.877383507109576577e-02 -1.802791743689880599e+00 -6.573601683893623426e-02 2.349647547500881117e+00 1.440325938320086707e-01
1.606066976427977452e-02 -6.573601683893623426e-02 5.989480390160713263e-02 8.370108892879833673e-02 1.719610099050441696e-02
1.305060931405437608e-01 2.349647547500882006e+00 8.370108892879836449e-02 -2.888480789241178126e+00 -4.715311921145509677e-02
2.296310717214533170e+00 1.440325938320088928e-01 1.719610099050441696e-02 -4.715311921145529106e-02 1.902362264982039086e+00
