# U/t eqp0 eqp1 eqp2 eqp3 eqp4 eqp5
4.099999999999999645e+00 -9.861549519114567453e-01 -7.373440268020255983e-01 -1.970365601571984898e-02 1.970365691158258714e-02 7.373440268020362565e-01 9.861549489046586014e-01
4.200000000000000178e+00 -9.861549519115530016e-01 -7.243751118658525723e-01 -1.970365601569699227e-02 1.970365691159614574e-02 7.243751118658637855e-01 9.861549489045161598e-01
4.299999999999999822e+00 -9.861549519115770934e-01 -7.110939276622675331e-01 -1.970365601567336186e-02 1.970365691156216945e-02 7.110939276622751937e-01 9.861549489046763650e-01
4.400000000000000355e+00 -9.861549519117668305e-01 -6.975002775975285285e-01 -1.970365601565675709e-02 1.970365691155749263e-02 6.975002775975307490e-01 9.861549489046401717e-01
4.500000000000000000e+00 -9.861549519117128737e-01 -6.835938817983178151e-01 -1.970365601563467753e-02 1.970365691155672935e-02 6.835938817983198135e-01 9.861549489047669592e-01
4.599999999999999645e+00 -9.861549519114859441e-01 -6.693752119946578816e-01 -1.970365601565282968e-02 1.970365691155913715e-02 6.693752119946670964e-01 9.861549489047231054e-01
4.700000000000000178e+00 -9.861549519115762052e-01 -6.548440857613695432e-01 -1.970365601564502689e-02 1.970365691158838459e-02 6.548440857613757604e-01 9.861549489049523665e-01
4.799999999999999822e+00 -9.861549519115718754e-01 -6.400001754633357631e-01 -1.970365601561657048e-02 1.970365691157482946e-02 6.400001754633450890e-01 9.861549489049139527e-01
4.900000000000000355e+00 -9.861549519116913354e-01 -6.248440326810039691e-01 -1.970365601562552860e-02 1.970365691156664503e-02 6.248440326810064116e-01 9.861549489048422323e-01
5.000000000000000000e+00 -9.861549519115900830e-01 -6.093754495473381327e-01 -1.970365601561878746e-02 1.970365691154773308e-02 6.093754495473446831e-01 9.861549489049401540e-01
5.099999999999999645e+00 -9.861549519115588858e-01 -5.935944571152035332e-01 -1.970365601560335536e-02 1.970365691155663221e-02 5.935944571152079741e-01 9.861549489050375206e-01
5.200000000000000178e+00 -9.861549519116037388e-01 -5.775011015599781361e-01 -1.970365601559651361e-02 1.970365691155730181e-02 5.775011015599780251e-01 9.861549489048537787e-01
5.299999999999999822e+00 -9.861549519115534457e-01 -5.610948285568849725e-01 -1.970365601559230170e-02 1.970365691155884225e-02 5.610948285568874150e-01 9.861549489049703521e-01
5.400000000000000355e+00 -9.861549519115301310e-01 -5.443760844155879353e-01 -1.970365601558355523e-02 1.970365691154940535e-02 5.443760844155904888e-01 9.861549489049848960e-01
5.500000000000000000e+00 -9.861549519115759832e-01 -5.273448700125218380e-01 -1.970365601556713780e-02 1.970365691156072963e-02 5.273448700125304978e-01 9.861549489049361572e-01
5.599999999999999645e+00 -9.861549519115143658e-01 -5.100011886304919306e-01 -1.970365601554376761e-02 1.970365691156490684e-02 5.100011886305000353e-01 9.861549489048807571e-01
5.700000000000000178e+00 -9.861549519115565543e-01 -4.923450464890535283e-01 -1.970365601554711910e-02 1.970365691157983934e-02 4.923450464890605227e-01 9.861549489049629136e-01
5.799999999999999822e+00 -9.861549519114859441e-01 -4.743764536857844605e-01 -1.970365601553483378e-02 1.970365691157330984e-02 4.743764536857911773e-01 9.861549489049313832e-01
5.900000000000000355e+00 -9.861549519115111462e-01 -4.560954257772453779e-01 -1.970365601551938434e-02 1.970365691157957566e-02 4.560954257772464326e-01 9.861549489051635309e-01
6.000000000000000000e+00 -9.861549519114487516e-01 -4.375019863477735971e-01 -1.970365601549629170e-02 1.970365691158145263e-02 4.375019863477789261e-01 9.861549489050398520e-01
6.099999999999999645e+00 -9.861549519115379026e-01 -4.185955106732114350e-01 -1.970365601546086518e-02 1.970365691160130481e-02 4.185955106732142106e-01 9.861549489049115103e-01
