# Ng=4 U=8.6  qp-side lambda, stacked Neff x Neff blocks per atom (atom0, atom1)
1.248894055852863005e-01 -1.948865331697831882e-01 6.242801139804978611e-02 1.683019604960685547e-02 -1.605597358653610210e-02
-1.948865331697831882e-01 3.983752273393121879e+00 2.089843418573530953e-02 -9.701176799560488895e-02 3.099488744089752834e-01
6.242801139804978611e-02 2.089843418573530953e-02 -3.878287484413103670e+00 -7.519564969960221834e-01 2.924147183205142927e-02
1.683019604960685547e-02 -9.701176799560488895e-02 -7.519564969960221834e-01 -2.284622539833600779e-02 -2.588572748805544835e-03
-1.605597358653610210e-02 3.099488744089752834e-01 2.924147183205142927e-02 -2.588572748805544835e-03 1.407267434481584978e-01
-2.913677919967226249e+00 4.171370607274076936e-01 -6.964061144635573797e-01 -1.727252374265100254e+00 -3.259834928393631759e-02
4.171370607274076936e-01 7.130268970579914378e-02 3.150915072829010843e-01 2.514133989369339295e-01 5.168272422408690808e-02
-6.964061144635573797e-01 3.150915072829010843e-01 3.752887816590237069e+00 -1.613671705165065084e-01 8.099518300170609475e-01
-1.727252374265100254e+00 2.514133989369339295e-01 -1.613671705165065084e-01 -8.539962021633129563e-01 3.215003675584324899e-02
-3.259834928393631759e-02 5.168272422408690808e-02 8.099518300170609475e-01 3.215003675584324899e-02 2.917181456603951673e-01
