# U/t eqp0 eqp1 eqp2 eqp3 eqp4 eqp5
5.700000000000000178e+00 -2.914763717363702433e+00 -1.945524844310231760e+00 1.028593707402506711e-14 1.057758217154799181e-14 1.945524844310538404e+00 2.914763717364008411e+00
5.799999999999999822e+00 -2.976038526399026107e+00 -2.005366448604155138e+00 1.013055096351558735e-14 1.041941701377466369e-14 2.005366448604307017e+00 2.976038526399174877e+00
5.900000000000000355e+00 -3.036636409727189179e+00 -2.064641264949680366e+00 1.055932185005638801e-14 1.155883614951689507e-14 2.064641264949551136e+00 3.036636409727100361e+00
6.000000000000000000e+00 -3.096624736620454676e+00 -2.123404413464851093e+00 1.063264634363530257e-14 1.068840621872663922e-14 2.123404413464887064e+00 3.096624736620409379e+00
6.099999999999999645e+00 -3.156091479962113588e+00 -2.181732713571751692e+00 1.063451461906837980e-14 1.130409950074130532e-14 2.181732713571742810e+00 3.156091479962202850e+00
6.200000000000000178e+00 -3.215021364440791451e+00 -2.239603521071853898e+00 1.104054405294737780e-14 1.176890125180266448e-14 2.239603521071715786e+00 3.215021364440691087e+00
6.299999999999999822e+00 -3.273494558073965166e+00 -2.297088342925475590e+00 1.105400488622566272e-14 1.210932400762364663e-14 2.297088342925415194e+00 3.273494558073900329e+00
6.400000000000000355e+00 -3.331549217538155361e+00 -2.354218610221625152e+00 1.096922726578991390e-14 1.213989151943512023e-14 2.354218610221987529e+00 3.331549217538550156e+00
6.500000000000000000e+00 -3.389219026781701061e+00 -2.411022124242741427e+00 1.036072987746318175e-14 1.111709831904016241e-14 2.411022124242747644e+00 3.389219026781730815e+00
6.599999999999999645e+00 -3.446533868736921580e+00 -2.467523596615049719e+00 1.062100713445539796e-14 1.118251539466259331e-14 2.467523596614722869e+00 3.446533868736578299e+00
6.700000000000000178e+00 -3.503520375127093356e+00 -2.523745092057848805e+00 9.853445472793842433e-15 1.107555958399733780e-14 2.523745092057648076e+00 3.503520375126906394e+00
6.799999999999999822e+00 -3.560202380075948803e+00 -2.579706394167015748e+00 1.072961170629171409e-14 1.122981909522969272e-14 2.579706394167103678e+00 3.560202380076043838e+00
6.900000000000000355e+00 -3.616601297095313861e+00 -2.635425309814383610e+00 9.484235477000831786e-15 1.127238143436515167e-14 2.635425309814114492e+00 3.616601297095043410e+00
7.000000000000000000e+00 -3.672736434517770210e+00 -2.690917924171916997e+00 1.050501619048982460e-14 1.156023274306616587e-14 2.690917924171993825e+00 3.672736434517874127e+00
7.099999999999999645e+00 -3.728625264161445241e+00 -2.746198818739558067e+00 1.071934909960017009e-14 1.149725445723479679e-14 2.746198818739523428e+00 3.728625264161435915e+00
7.200000000000000178e+00 -3.784312568016639844e+00 -2.801309793481836952e+00 1.045547887957822630e-14 1.152823805060685423e-14 2.801309793481703281e+00 3.784312568016481304e+00
7.299999999999999822e+00 -3.839751553289884711e+00 -2.856202533850598524e+00 1.078420840454659554e-14 1.139488175712037288e-14 2.856202533850396019e+00 3.839751553289733721e+00
7.400000000000000355e+00 -3.894988123074060393e+00 -2.910920368176091788e+00 1.088974563352000770e-14 1.149621030265719655e-14 2.910920368176684203e+00 3.894988123074643482e+00
7.500000000000000000e+00 -3.950034267481804306e+00 -2.965473363062119727e+00 1.130287355221464174e-14 1.183118188297756057e-14 2.965473363061565060e+00 3.950034267481264738e+00
7.599999999999999645e+00 -4.004900990423814200e+00 -3.019870773006472220e+00 1.000957163622026721e-14 1.112185396617395671e-14 3.019870773007689468e+00 4.004900990425095841e+00
7.700000000000000178e+00 -4.059598413510475012e+00 -3.074121124858610443e+00 1.047547812185482332e-14 1.117972555006714936e-14 3.074121124858913756e+00 4.059598413510840942e+00
7.799999999999999822e+00 -4.114135866662507190e+00 -3.128232291572357937e+00 1.136786756807289989e-14 1.209003905604072102e-14 3.128232291572275781e+00 4.114135866662501861e+00
7.900000000000000355e+00 -4.168521967410871554e+00 -3.182211556835057742e+00 1.082314256428893628e-14 1.221886410645924197e-14 3.182211556834512844e+00 4.168521967410295126e+00
8.000000000000000000e+00 -4.222764690542750721e+00 -3.236065671902069951e+00 1.168000146022890555e-14 1.175448639695903004e-14 3.236065671901994900e+00 4.222764690542668120e+00
8.099999999999999645e+00 -4.276871429476427622e+00 -3.289800905745694948e+00 1.172666631233208738e-14 1.262662867592868736e-14 3.289800905745074111e+00 4.276871429475826325e+00
8.199999999999999289e+00 -4.330849050507700859e+00 -3.343423089434299111e+00 1.147129541034668316e-14 1.263734935769273435e-14 3.343423089434210294e+00 4.330849050507532105e+00
8.300000000000000711e+00 -4.384703940901157893e+00 -3.396937655524931543e+00 1.091148937569549631e-14 1.268926088464308192e-14 3.396937655524534527e+00 4.384703940900772423e+00
8.400000000000000355e+00 -4.438442051654065246e+00 -3.450349673135408413e+00 8.051143960162568639e-15 1.382827272102930066e-14 3.450349673135558515e+00 4.438442051654242881e+00
8.500000000000000000e+00 -4.492068935604456748e+00 -3.503663879234786727e+00 -7.126906135179806232e-15 2.418146051848215884e-14 3.503663879236372125e+00 4.492068935606110536e+00
8.599999999999999645e+00 -4.545589781507117344e+00 -3.556884706658603790e+00 -1.851709748934669689e-15 4.365595116168051228e-15 3.556884706658726802e+00 4.545589781507337612e+00
8.699999999999999289e+00 -4.599009444547435876e+00 -3.610016309222844999e+00 5.781955975963808677e-16 5.019106538077214115e-15 3.610016309222857434e+00 4.599009444547535352e+00
8.800000000000000711e+00 -4.652332473758447051e+00 -3.663062584318748094e+00 5.513354352340661091e-16 5.690091211113140236e-15 3.663062584318024228e+00 4.652332473757711639e+00
8.900000000000000355e+00 -4.705563136684248526e+00 -3.716027193259004768e+00 6.377938327550593951e-16 6.050486738982032614e-15 3.716027193257872785e+00 4.705563136683090342e+00
9.000000000000000000e+00 -4.758705441640684874e+00 -3.768913579666075098e+00 -1.695444200690765882e-15 5.830049185464013005e-15 3.768913579666352209e+00 4.758705441640997513e+00
9.099999999999999645e+00 -4.811763157821017600e+00 -3.821724986096815879e+00 -1.129998957686922575e-15 5.036081229554606131e-15 3.821724986097096100e+00 4.811763157821372872e+00
9.199999999999999289e+00 -4.864739833512690126e+00 -3.874464469123887422e+00 -1.229155543925021268e-15 5.737620542825601390e-15 3.874464469123859889e+00 4.864739833512829570e+00
9.300000000000000711e+00 -4.917638812628799982e+00 -3.927134913037980457e+00 -7.410451672024180046e-15 1.057517005087217351e-14 3.927134913037109154e+00 4.917638812627766143e+00
9.400000000000000355e+00 -4.970463249729233368e+00 -3.979739042310780572e+00 -2.983758876996384885e-15 3.344581359999379717e-15 3.979739042311006614e+00 4.970463249729438537e+00
9.500000000000000000e+00 -5.023216123697516799e+00 -4.032279432957079024e+00 -7.363055667024230661e-15 7.654489210987285068e-15 4.032279432955498066e+00 5.023216123699112856e+00
9.599999999999999645e+00 -5.075900251570183208e+00 -4.084758524247832590e+00 -2.976678899078616108e-14 3.000271138350975508e-14 4.084758524249510359e+00 5.075900251571829891e+00
9.699999999999999289e+00 -5.128546039353705233e+00 -4.137206231074475937e+00 -1.814140181866741388e-12 1.815056115827869904e-12 4.137206231073962570e+00 5.128546039353255814e+00
9.800000000000000711e+00 -5.181098781860423053e+00 -4.189567801094473687e+00 -5.134658957202438151e-11 5.134594709984094755e-11 4.189567801093827981e+00 5.181098781859754254e+00
9.900000000000000355e+00 -5.233590480650837762e+00 -4.241874773451702829e+00 -1.580742537627193748e-09 1.580743287279506815e-09 4.241874773450132530e+00 5.233590480649120025e+00
1.000000000000000000e+01 -5.285999360456212770e+00 -4.294105232311977716e+00 -5.290194556422862275e-08 5.290194513804031604e-08 4.294105232312596776e+00 5.285999360456836271e+00
