# Ng=4 U=1.0  qp-side lambda, stacked Neff x Neff blocks per atom (atom0, atom1)
2.756377493920777466e-01 1.593019983692703367e-02 7.648669769627257364e-02 -5.252462605466611152e-03 8.712724291665534526e-01
1.593019983692703367e-02 -2.818248212192173696e+00 -3.926958214363539534e-01 5.913271128584550729e-01 -2.826989318174585875e-02
7.648669769627257364e-02 -3.926958214363539534e-01 -3.475658265978743416e-02 8.184986709179868647e-02 2.291727914309879821e-01
-5.252462605466611152e-03 5.913271128584550729e-01 8.184986709179868647e-02 -1.295605620951392756e-01 -5.904947005211010622e-05
8.712724291665534526e-01 -2.826989318174585875e-02 2.291727914309879821e-01 -5.904947005211010622e-05 2.696375890334220760e+00
2.468291022926772271e+00 -3.605900258281349163e-02 4.944398953860099089e-01 -2.951294463290199746e-02 -1.031033749262720622e+00
-3.605900258281349163e-02 -6.005967994571411728e-01 -1.497703432165517212e-01 1.187171093895238894e+00 2.035789165550180857e-02
4.944398953860099089e-01 -1.497703432165517212e-01 6.522404030864106805e-02 2.761629189025067710e-01 -2.052124531212871639e-01
-2.951294463290199746e-02 1.187171093895238894e+00 2.761629189025067710e-01 -2.367926729503444516e+00 1.818604942108114535e-03
-1.031033749262720622e+00 2.035789165550180857e-02 -2.052124531212871639e-01 1.818604942108114535e-03 4.244607355439514174e-01
